symbol,sector,industry_group,industry,sub_industry,name,index
MMM,Industrials,,,Industrial Conglomerates,3M,sp500
AOS,Industrials,,,Building Products,A. O. Smith,sp500
ABT,Health Care,,,Health Care Equipment,Abbott Laboratories,sp500
ABBV,Health Care,,,Biotechnology,AbbVie,sp500
ACN,Information Technology,,,IT Consulting & Other Services,Accenture,sp500
ADBE,Information Technology,,,Application Software,Adobe Inc.,sp500
AMD,Information Technology,,,Semiconductors,Advanced Micro Devices,sp500
AES,Utilities,,,Independent Power Producers & Energy Traders,AES Corporation,sp500
AFL,Financials,,,Life & Health Insurance,Aflac,sp500
A,Health Care,,,Life Sciences Tools & Services,Agilent Technologies,sp500
APD,Materials,,,Industrial Gases,Air Products,sp500
ABNB,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Airbnb,sp500
AKAM,Information Technology,,,Internet Services & Infrastructure,Akamai Technologies,sp500
ALB,Materials,,,Specialty Chemicals,Albemarle Corporation,sp500
ARE,Real Estate,,,Office REITs,Alexandria Real Estate Equities,sp500
ALGN,Health Care,,,Health Care Supplies,Align Technology,sp500
ALLE,Industrials,,,Building Products,Allegion,sp500
LNT,Utilities,,,Electric Utilities,Alliant Energy,sp500
ALL,Financials,,,Property & Casualty Insurance,Allstate,sp500
GOOGL,Communication Services,,,Interactive Media & Services,Alphabet Inc. (Class A),sp500
GOOG,Communication Services,,,Interactive Media & Services,Alphabet Inc. (Class C),sp500
MO,Consumer Staples,,,Tobacco,Altria,sp500
AMZN,Consumer Discretionary,,,Broadline Retail,Amazon,sp500
AMCR,Materials,,,Paper & Plastic Packaging Products & Materials,Amcor,sp500
AEE,Utilities,,,Multi-Utilities,Ameren,sp500
AEP,Utilities,,,Electric Utilities,American Electric Power,sp500
AXP,Financials,,,Consumer Finance,American Express,sp500
AIG,Financials,,,Multi-line Insurance,American International Group,sp500
AMT,Real Estate,,,Telecom Tower REITs,American Tower,sp500
AWK,Utilities,,,Water Utilities,American Water Works,sp500
AMP,Financials,,,Asset Management & Custody Banks,Ameriprise Financial,sp500
AME,Industrials,,,Electrical Components & Equipment,Ametek,sp500
AMGN,Health Care,,,Biotechnology,Amgen,sp500
APH,Information Technology,,,Electronic Components,Amphenol,sp500
ADI,Information Technology,,,Semiconductors,Analog Devices,sp500
AON,Financials,,,Insurance Brokers,Aon plc,sp500
APA,Energy,,,Oil & Gas Exploration & Production,APA Corporation,sp500
APO,Financials,,,Asset Management & Custody Banks,Apollo Global Management,sp500
AAPL,Information Technology,,,"Technology Hardware, Storage & Peripherals",Apple Inc.,sp500
AMAT,Information Technology,,,Semiconductor Materials & Equipment,Applied Materials,sp500
APP,Information Technology,,,Application Software,AppLovin,sp500
APTV,Consumer Discretionary,,,Automotive Parts & Equipment,Aptiv,sp500
ACGL,Financials,,,Property & Casualty Insurance,Arch Capital Group,sp500
ADM,Consumer Staples,,,Agricultural Products & Services,Archer Daniels Midland,sp500
ARES,Financials,,,Asset Management & Custody Banks,Ares Management,sp500
ANET,Information Technology,,,Communications Equipment,Arista Networks,sp500
AJG,Financials,,,Insurance Brokers,Arthur J. Gallagher & Co.,sp500
AIZ,Financials,,,Multi-line Insurance,Assurant,sp500
T,Communication Services,,,Integrated Telecommunication Services,AT&T,sp500
ATO,Utilities,,,Gas Utilities,Atmos Energy,sp500
ADSK,Information Technology,,,Application Software,Autodesk,sp500
ADP,Industrials,,,Human Resource & Employment Services,Automatic Data Processing,sp500
AZO,Consumer Discretionary,,,Automotive Retail,AutoZone,sp500
AVB,Real Estate,,,Multi-Family Residential REITs,AvalonBay Communities,sp500
AVY,Materials,,,Paper & Plastic Packaging Products & Materials,Avery Dennison,sp500
AXON,Industrials,,,Aerospace & Defense,Axon Enterprise,sp500
BKR,Energy,,,Oil & Gas Equipment & Services,Baker Hughes,sp500
BALL,Materials,,,"Metal, Glass & Plastic Containers",Ball Corporation,sp500
BAC,Financials,,,Diversified Banks,Bank of America,sp500
BAX,Health Care,,,Health Care Equipment,Baxter International,sp500
BDX,Health Care,,,Health Care Equipment,Becton Dickinson,sp500
BRK-B,Financials,,,Multi-Sector Holdings,Berkshire Hathaway,sp500
BBY,Consumer Discretionary,,,Computer & Electronics Retail,Best Buy,sp500
TECH,Health Care,,,Life Sciences Tools & Services,Bio-Techne,sp500
BIIB,Health Care,,,Biotechnology,Biogen,sp500
BLK,Financials,,,Asset Management & Custody Banks,BlackRock,sp500
BX,Financials,,,Asset Management & Custody Banks,Blackstone Inc.,sp500
XYZ,Financials,,,Transaction & Payment Processing Services,"Block, Inc.",sp500
BNY,Financials,,,Asset Management & Custody Banks,BNY Mellon,sp500
BA,Industrials,,,Aerospace & Defense,Boeing,sp500
BKNG,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Booking Holdings,sp500
BSX,Health Care,,,Health Care Equipment,Boston Scientific,sp500
BMY,Health Care,,,Pharmaceuticals,Bristol Myers Squibb,sp500
AVGO,Information Technology,,,Semiconductors,Broadcom,sp500
BR,Industrials,,,Data Processing & Outsourced Services,Broadridge Financial Solutions,sp500
BRO,Financials,,,Insurance Brokers,Brown & Brown,sp500
BF-B,Consumer Staples,,,Distillers & Vintners,Brown–Forman,sp500
BLDR,Industrials,,,Building Products,Builders FirstSource,sp500
BG,Consumer Staples,,,Agricultural Products & Services,Bunge Global,sp500
BXP,Real Estate,,,Office REITs,"BXP, Inc.",sp500
CHRW,Industrials,,,Air Freight & Logistics,C.H. Robinson,sp500
CDNS,Information Technology,,,Application Software,Cadence Design Systems,sp500
CPT,Real Estate,,,Multi-Family Residential REITs,Camden Property Trust,sp500
COF,Financials,,,Consumer Finance,Capital One,sp500
CAH,Health Care,,,Health Care Distributors,Cardinal Health,sp500
CCL,Consumer Discretionary,,,"Hotels, Resorts & Cruise Lines",Carnival Corporation,sp500
CARR,Industrials,,,Building Products,Carrier Global,sp500
CVNA,Consumer Discretionary,,,Automotive Retail,Carvana,sp500
CASY,Consumer Staples,,,Food Retail,Casey's,sp500
CAT,Industrials,,,Construction Machinery & Heavy Transportation Equipment,Caterpillar Inc.,sp500
CBOE,Financials,,,Financial Exchanges & Data,Cboe Global Markets,sp500
CBRE,Real Estate,,,Real Estate Services,CBRE Group,sp500
CDW,Information Technology,,,Technology Distributors,CDW Corporation,sp500
COR,Health Care,,,Health Care Distributors,Cencora,sp500
