symbol,removed_date,reason,added_symbol
POOL,2026-06-22,,
CPB,2026-06-22,,
EPAM,2026-06-02,,
CTRA,2026-05-07,,
HOLX,2026-04-09,,
MTCH,2026-03-23,,
MOH,2026-03-23,,
LW,2026-03-23,,
PAYC,2026-03-23,,
DAY,2026-02-09,,
LKQ,2025-12-22,,
SOLS,2025-12-22,,
MHK,2025-12-22,,
K,2025-12-11,,
IPG,2025-11-28,,
EMN,2025-11-04,,
KMX,2025-10-31,,
ENPH,2025-09-22,,
CZR,2025-09-22,,
MKTX,2025-09-22,,
WBA,2025-08-28,,
HES,2025-07-23,,
ANSS,2025-07-18,,
JNPR,2025-07-09,,
DFS,2025-05-19,,
BWA,2025-03-24,,
TFX,2025-03-24,,
CE,2025-03-24,,
FMC,2025-03-24,,
QRVO,2024-12-23,,
AMTM,2024-12-23,,
CTLT,2024-12-23,,
MRO,2024-11-26,,
BBWI,2024-10-01,,
AAL,2024-09-23,,
ETSY,2024-09-23,,
BIO,2024-09-23,,
RHI,2024-06-24,,
CMA,2024-06-24,,
ILMN,2024-06-24,,
PXD,2024-05-08,,
XRAY,2024-04-03,,
VFC,2024-04-03,,
WHR,2024-03-18,,
ZION,2024-03-18,,
SEE,2023-12-18,,
ALK,2023-12-18,,
SEDG,2023-12-18,,
OGN,2023-10-18,,
ATVI,2023-10-18,,
DXC,2023-10-03,,
LNC,2023-09-18,,
NWL,2023-09-18,,
AAP,2023-08-25,,
RE,2023-07-10,,
DISH,2023-06-20,,
FRC,2023-05-04,,
LUMN,2023-03-20,,
SBNY,2023-03-15,,
SIVB,2023-03-15,,
VNO,2023-01-05,,
ABMD,2022-12-22,,
FBHS,2022-12-19,,
MBC,2022-12-19,,
TWTR,2022-11-01,,
NLSN,2022-10-12,,
CTXS,2022-10-03,,
DRE,2022-10-03,,
PVH,2022-09-19,,
PENN,2022-09-19,,
UA,2022-06-21,,
UAA,2022-06-21,,
IPGP,2022-06-21,,
CERN,2022-06-08,,
DISCA,2022-04-11,,
DISCK,2022-04-11,,
PBCT,2022-04-04,,
INFO,2022-03-02,,
XLNX,2022-02-15,,
GPS,2022-02-03,,
LEG,2021-12-20,,
HBI,2021-12-20,,
WU,2021-12-20,,
KSU,2021-12-14,,
PRGO,2021-09-20,,
UNM,2021-09-20,,
NOV,2021-09-20,,
MXIM,2021-08-30,,
ALXN,2021-07-21,,
HFC,2021-06-04,,
FLIR,2021-05-14,,
VAR,2021-04-20,,
FLS,2021-03-22,,
SLG,2021-03-22,,
XRX,2021-03-22,,
VNT,2021-03-22,,
FTI,2021-02-12,,
CXO,2021-01-21,,
TIF,2021-01-07,,
AIV,2020-12-21,,
NBL,2020-10-12,,
ETFC,2020-10-07,,
HRB,2020-09-21,,
COTY,2020-09-21,,
KSS,2020-09-21,,
ADS,2020-06-22,,
HOG,2020-06-22,,
JWN,2020-06-22,,
HP,2020-05-22,,
CPRI,2020-05-12,,
AGN,2020-05-12,,
M,2020-04-06,,
RTN,2020-04-06,,
ARNC,2020-04-01,,
XEC,2020-03-02,,
WCG,2020-01-28,,
AMG,2019-12-23,,
TRIP,2019-12-23,,
MAC,2019-12-23,,
STI,2019-12-09,,
VIAB,2019-12-05,,
CELG,2019-11-21,,
NKTR,2019-10-03,,
JEF,2019-09-26,,
TSS,2019-09-23,,
APC,2019-08-09,,
FL,2019-08-09,,
RHT,2019-07-15,,
LLL,2019-07-01,,
BMS,2019-06-11,,
MAT,2019-06-07,,
DWDP,2019-06-03,,
FLR,2019-06-03,,
BHF,2019-04-02,,
FOXA,2019-03-19,,
FOX,2019-03-19,,
GT,2019-02-27,,
NFX,2019-02-15,,
PCG,2019-01-18,,
SCG,2019-01-02,,
ESRX,2018-12-24,,
COL,2018-12-03,,
AET,2018-12-03,,
SRCL,2018-12-03,,
EQT,2018-11-13,,
CA,2018-11-06,,
EVHC,2018-10-11,,
ANDV,2018-10-01,,
XL,2018-09-14,,
